created_at,entry_id,Temperature,Humidity,Pressure,latitude,longitude,elevation,status
2023-05-21T11:08:53+00:00,1,35.1,34.9,0,,,,
2023-05-21T11:17:19+00:00,2,35.3,35.1,0,,,,
2023-05-21T11:17:34+00:00,3,35.3,35.7,0,,,,
2023-05-21T11:17:50+00:00,4,35.3,35.8,0,,,,
2023-05-21T11:18:05+00:00,5,35.3,36,0,,,,
2023-05-21T11:18:20+00:00,6,35.3,36,0,,,,
2023-05-21T11:18:35+00:00,7,35.3,36,0,,,,
2023-05-21T11:18:50+00:00,8,35.3,36.1,0,,,,
2023-05-21T11:19:06+00:00,9,35.3,36.1,0,,,,
2023-05-21T11:19:21+00:00,10,35.4,36.3,0,,,,
2023-05-21T11:19:36+00:00,11,35.5,35.8,0,,,,
2023-05-21T11:19:51+00:00,12,35.7,35.2,0,,,,
2023-05-21T11:20:07+00:00,13,35.8,35.1,0,,,,
2023-05-21T11:20:22+00:00,14,35.8,35.7,0,,,,
2023-05-21T11:20:37+00:00,15,35.8,35,0,,,,
2023-05-21T11:20:52+00:00,16,35.8,35,0,,,,
2023-05-21T11:21:26+00:00,17,35.7,35.3,0,,,,
2023-05-21T11:21:42+00:00,18,35.7,35.2,0,,,,
2023-05-21T11:21:57+00:00,19,35.7,35.6,0,,,,
2023-05-21T11:22:30+00:00,20,35.6,35,0,,,,
2023-05-21T11:22:45+00:00,21,35.6,35.7,0,,,,
2023-05-21T11:23:00+00:00,22,35.5,35.7,0,,,,
2023-05-21T11:23:15+00:00,23,35.5,35.8,0,,,,
2023-05-21T11:23:31+00:00,24,35.4,35.8,0,,,,
2023-05-21T11:23:46+00:00,25,35.5,35.8,0,,,,
2023-05-21T11:24:02+00:00,26,35.4,35.9,0,,,,
2023-05-21T11:24:17+00:00,27,35.4,35.8,0,,,,
2023-05-21T11:24:33+00:00,28,35.4,35.8,0,,,,
2023-05-21T11:24:49+00:00,29,35.5,35.8,0,,,,
2023-05-21T11:25:22+00:00,30,35.5,35.7,0,,,,
2023-05-21T11:25:38+00:00,31,35.5,35.9,0,,,,
2023-05-21T11:25:53+00:00,32,35.4,36.1,0,,,,
2023-05-21T11:26:08+00:00,33,35.4,36.3,0,,,,
2023-05-21T11:26:23+00:00,34,35.4,36.3,0,,,,
2023-05-21T11:26:39+00:00,35,35.4,36.3,0,,,,
2023-05-21T11:26:55+00:00,36,35.4,36,0,,,,
2023-05-21T11:27:10+00:00,37,35.5,35.9,0,,,,
2023-05-21T11:27:25+00:00,38,35.6,36.3,0,,,,
2023-05-21T11:27:41+00:00,39,35.6,36.3,0,,,,
2023-05-21T11:27:56+00:00,40,35.5,36,0,,,,
2023-05-21T11:28:12+00:00,41,35.5,36,0,,,,
2023-05-21T11:29:54+00:00,42,35.5,35.9,0,,,,
2023-05-21T11:30:10+00:00,43,35.3,36.6,0,,,,
2023-05-21T11:30:25+00:00,44,35.3,36.6,0,,,,
2023-05-21T11:30:40+00:00,45,35.3,36.6,0,,,,
2023-05-21T11:30:56+00:00,46,35.3,36.3,0,,,,
